patient,drug,dose,n_genes_scored,mean_abs_half0,mean_abs_half1,r,control
SYNL19,SYND6,0.05,2000,0.565,0.5688,0.0187,negative (no signal)
SYNL19,SYND7,0.05,2000,0.562,0.5646,0.004,negative (no signal)
SYNL19,SYND8,0.05,2000,0.5557,0.5722,-0.0101,negative (no signal)
SYNL19,SYND9,0.05,2000,0.5434,0.578,0.0012,negative (no signal)
SYNL2,SYND0,0.05,2000,0.5672,0.5732,0.0105,negative (no signal)
SYNL2,SYND1,0.05,2000,0.5667,0.5647,-0.0159,negative (no signal)
SYNL2,SYND2,0.05,2000,0.5682,0.5603,-0.014,negative (no signal)
SYNL2,SYND3,0.05,2000,0.5666,0.5689,-0.0334,negative (no signal)
SYNL2,SYND4,0.05,2000,0.5549,0.572,-0.0193,negative (no signal)
SYNL2,SYND5,0.05,2000,0.5605,0.5543,0.004,negative (no signal)
SYNL2,SYND6,0.05,2000,0.5534,0.5565,0.0149,negative (no signal)
SYNL2,SYND7,0.05,2000,0.5726,0.5545,-0.034,negative (no signal)
SYNL2,SYND8,0.05,2000,0.5771,0.5651,0.0528,negative (no signal)
SYNL2,SYND9,0.05,2000,0.572,0.5642,-0.0103,negative (no signal)
SYNL3,SYND0,0.05,2000,0.5565,0.5492,-0.0115,negative (no signal)
SYNL3,SYND1,0.05,2000,0.5575,0.547,0.0056,negative (no signal)
SYNL3,SYND2,0.05,2000,0.5588,0.575,0.0472,negative (no signal)
SYNL3,SYND3,0.05,2000,0.5638,0.5664,0.0083,negative (no signal)
SYNL3,SYND4,0.05,2000,0.5711,0.5684,-0.0045,negative (no signal)
SYNL3,SYND5,0.05,2000,0.5416,0.5527,-0.0018,negative (no signal)
SYNL3,SYND6,0.05,2000,0.5579,0.5545,0.0138,negative (no signal)
SYNL3,SYND7,0.05,2000,0.5623,0.5724,-0.0029,negative (no signal)
SYNL3,SYND8,0.05,2000,0.5495,0.5579,-0.0175,negative (no signal)
SYNL3,SYND9,0.05,2000,0.5642,0.5554,0.0212,negative (no signal)
SYNL4,SYND0,0.05,2000,0.563,0.564,-0.0123,negative (no signal)
SYNL4,SYND1,0.05,2000,0.5558,0.5669,-0.0104,negative (no signal)
SYNL4,SYND2,0.05,2000,0.5559,0.5735,-0.0159,negative (no signal)
SYNL4,SYND3,0.05,2000,0.5732,0.5612,0.0485,negative (no signal)
SYNL4,SYND4,0.05,2000,0.5828,0.5605,-0.0461,negative (no signal)
SYNL4,SYND5,0.05,2000,0.5656,0.5619,0.0152,negative (no signal)
SYNL4,SYND6,0.05,2000,0.5742,0.5605,0.0041,negative (no signal)
SYNL4,SYND7,0.05,2000,0.5661,0.5703,-0.0138,negative (no signal)
SYNL4,SYND8,0.05,2000,0.5593,0.5648,-0.0337,negative (no signal)
SYNL4,SYND9,0.05,2000,0.5562,0.5698,-0.0083,negative (no signal)
SYNL5,SYND0,0.05,2000,0.5663,0.5667,-0.0178,negative (no signal)
SYNL5,SYND1,0.05,2000,0.5614,0.5822,0.0398,negative (no signal)
SYNL5,SYND2,0.05,2000,0.5712,0.5555,0.0179,negative (no signal)
SYNL5,SYND3,0.05,2000,0.5584,0.5428,0.046,negative (no signal)
SYNL5,SYND4,0.05,2000,0.577,0.5611,-0.0206,negative (no signal)
SYNL5,SYND5,0.05,2000,0.5731,0.5749,-0.0013,negative (no signal)
SYNL5,SYND6,0.05,2000,0.5691,0.5662,-0.0254,negative (no signal)
SYNL5,SYND7,0.05,2000,0.5629,0.5605,0.0032,negative (no signal)
SYNL5,SYND8,0.05,2000,0.5587,0.5661,-0.0251,negative (no signal)
SYNL5,SYND9,0.05,2000,0.563,0.5502,0.0347,negative (no signal)
SYNL6,SYND0,0.05,2000,0.5621,0.5546,0.014,negative (no signal)
SYNL6,SYND1,0.05,2000,0.5717,0.5747,0.0365,negative (no signal)
SYNL6,SYND2,0.05,2000,0.5673,0.5709,-0.0153,negative (no signal)
SYNL6,SYND3,0.05,2000,0.559,0.5633,-0.0183,negative (no signal)
SYNL6,SYND4,0.05,2000,0.5776,0.563,-0.0201,negative (no signal)
SYNL6,SYND5,0.05,2000,0.5624,0.5673,0.0332,negative (no signal)
SYNL6,SYND6,0.05,2000,0.5732,0.5616,0.0048,negative (no signal)
SYNL6,SYND7,0.05,2000,0.5634,0.572,-0.0006,negative (no signal)
SYNL6,SYND8,0.05,2000,0.5595,0.5569,-0.0261,negative (no signal)
SYNL6,SYND9,0.05,2000,0.5533,0.5643,-0.0124,negative (no signal)
SYNL7,SYND0,0.05,2000,0.5665,0.5619,0.0111,negative (no signal)
SYNL7,SYND1,0.05,2000,0.5641,0.5595,-0.0084,negative (no signal)
SYNL7,SYND2,0.05,2000,0.5493,0.5524,0.0154,negative (no signal)
SYNL7,SYND3,0.05,2000,0.5554,0.555,0.0037,negative (no signal)
SYNL7,SYND4,0.05,2000,0.5669,0.5686,-0.0059,negative (no signal)
SYNL7,SYND5,0.05,2000,0.5672,0.5675,0.0658,negative (no signal)
SYNL7,SYND6,0.05,2000,0.5612,0.5619,-0.0224,negative (no signal)
SYNL7,SYND7,0.05,2000,0.5647,0.5623,0.0121,negative (no signal)
SYNL7,SYND8,0.05,2000,0.558,0.5502,0.0302,negative (no signal)
SYNL7,SYND9,0.05,2000,0.5597,0.552,-0.0606,negative (no signal)
SYNL8,SYND0,0.05,2000,0.5662,0.5582,0.0063,negative (no signal)
SYNL8,SYND1,0.05,2000,0.5574,0.5541,0.0019,negative (no signal)
SYNL8,SYND2,0.05,2000,0.5663,0.5588,0.0126,negative (no signal)
SYNL8,SYND3,0.05,2000,0.5564,0.5716,0.0046,negative (no signal)
SYNL8,SYND4,0.05,2000,0.5663,0.5641,-0.0098,negative (no signal)
SYNL8,SYND5,0.05,2000,0.553,0.5464,-0.0082,negative (no signal)
SYNL8,SYND6,0.05,2000,0.5661,0.5613,0.0167,negative (no signal)
SYNL8,SYND7,0.05,2000,0.5514,0.5465,0.0009,negative (no signal)
SYNL8,SYND8,0.05,2000,0.5666,0.5614,0.0112,negative (no signal)
SYNL8,SYND9,0.05,2000,0.5687,0.571,0.0016,negative (no signal)
SYNL9,SYND0,0.05,2000,0.5763,0.5699,0.0003,negative (no signal)
SYNL9,SYND1,0.05,2000,0.5599,0.5538,-0.0366,negative (no signal)
SYNL9,SYND2,0.05,2000,0.5701,0.5638,-0.0121,negative (no signal)
SYNL9,SYND3,0.05,2000,0.5628,0.5666,-0.004,negative (no signal)
SYNL9,SYND4,0.05,2000,0.5553,0.5664,0.0085,negative (no signal)
SYNL9,SYND5,0.05,2000,0.5649,0.5559,0.004,negative (no signal)
SYNL9,SYND6,0.05,2000,0.5735,0.556,-0.0326,negative (no signal)
SYNL9,SYND7,0.05,2000,0.5597,0.5786,0.024,negative (no signal)
SYNL9,SYND8,0.05,2000,0.5702,0.5643,0.0116,negative (no signal)
SYNL9,SYND9,0.05,2000,0.5685,0.5744,-0.0274,negative (no signal)
